slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
true-oud,True Oud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/True-Oud-Carolina-Herrera.jpg,,Unisex,26.00,46.00,72.00,C.Herrera,"freziya, osmantus, zeytun, zəfəran","jasmin, mirra, tay-udu","müşk, paçuli, səndəl, akigalawood",https://www.etirsah.com/az/product/382,Stokda Var
yes-i-am,Yes I Am,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Yes-I-Am-Cacharel.jpg,,Qadın,26.00,46.00,72.00,Cacharel,"berqamot, limon, moruq, naringi-mandarin","jasmin, qardeniya, qızılgül, ənbər, zəncəfil-çiçəyi","benzoin, hil, karamel, kumarin, kəhrəba, süd, səndəl, vanil, biyan",https://www.etirsah.com/az/product/383,Stokda Var
yes-i-am,Yes I Am,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Yes-I-Am-Cacharel.jpg,,Qadın,20.00,34.00,52.00,Cacharel,"berqamot, limon, moruq, naringi-mandarin","jasmin, portağal-çiçəyi, qardeniya, qızılgül, ənbər, zəncəfil-çiçəyi","benzoin, hil, kumarin, süd, süsən, səndəl, vanil, biyan, ənbər-ağacı",https://www.etirsah.com/az/product/384,Stokda Var
yes-i-am-fabulous,Yes I Am Fabulous,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Yes-I-Am-Fabulous-Cacharel.jpg,,Qadın,20.00,34.00,52.00,Cacharel,böyürtkən,geliotrop,"süd, fındıq",https://www.etirsah.com/az/product/385,Stokda Var
downtown,Downtown,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Downtown-Calvin-Klein.jpg,,Qadın,,,,Calvin Klein,"armud, berqamot, limon, neroli, gavalı","bənövşə-yarpağı, çəhrayı-istiot, qardeniya","müşk, sidr, vetivera, büxur-ladan",https://www.etirsah.com/az/product/386,Stokda Yoxdur
eternity,Eternity,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Eternity-Calvin-Klein.jpg,,Qadın,14.00,22.00,32.00,Calvin Klein,"ağ-freziya, müşk-sürvəsi-adaçayı, naringi-mandarin, sitrus, yaşıl-notlar","jasmin, nərgiz, qızılgül, zanbaq, qərənfil, inciçiçəyi, gülümbahar","paçuli, səndəl, ənbər, geliotrop",https://www.etirsah.com/az/product/387,Stokda Var
euphoria-essence,Euphoria Essence,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Euphoria-Essence-Men-Calvin-Klein.jpg,,Kişi,,,,Calvin Klein,"berqamot, sarmaşıq","jasmin, ağ-istiot, zamş","tonka-lobyası, ənbər, quayak-ağacı",https://www.etirsah.com/az/product/388,Stokda Yoxdur
euphoria,Euphoria,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Euphoria-Calvin-Klein.jpg,,Qadın,14.00,22.00,32.00,Calvin Klein,"nar, yaşıl-notlar, xurma-meyvə","qara-orxideya, şanagüllə, çampaka","bənövşə, müşk, ənbər, maxaqon-qırmızı-ağac",https://www.etirsah.com/az/product/389,Stokda Var
reveal,Reveal,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Reveal-Men-Calvin-Klein.jpg,,Kişi,20.00,34.00,52.00,Calvin Klein,"armud, yemiş, zəncəfil, mastika, brendi","duz, müşk-sürvəsi-adaçayı, zamş, aqava","tonka-lobyası, vetivera, ənbər",https://www.etirsah.com/az/product/390,Stokda Var
canali-dal-1934,Canali dal 1934,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Canali-dal-1934-Canali.jpg,,Kişi,26.00,46.00,72.00,Canali,"acı-portağal, ananas, çəhrayı-istiot, qara-qarağat, qvatemala-hili","dəri, sidr, zəfəran","labdanum, müşk, boz-ənbər",https://www.etirsah.com/az/product/391,Stokda Var
volcano,Volcano,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Volcano-Carner-Barcelona.jpg,,Unisex,,,,Carner Barcelona,"bolqar-qızılgülü, zəncəfil, muskat","paçuli, naqarmota-girdə-topalaq, olibanum","benzoin, labdanum, vetivera, aqar-ağacı-ud",https://www.etirsah.com/az/product/392,Stokda Yoxdur
ch-men-hot-hot-hot,CH Men Hot! Hot! Hot!,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/CH-Men-Hot-Hot-Hot-Carolina-Herrera.jpg,,Kişi,26.00,46.00,72.00,C.Herrera,"bənövşə-yarpağı, qreyfrut, rəvənd","tütəkotu, siçuan-çin-istiotu","dəri, səndəl, vetivera",https://www.etirsah.com/az/product/393,Stokda Var
carat,Carat,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Carat-Cartier.jpg,,Qadın,20.00,34.00,52.00,Cartier,"armud, berqamot, yaşıl-notlar","bənövşə, ilanq-ilanq, lalə-xaşxaş, nərgiz, zanbaq","ağ-müşk, mimoza",https://www.etirsah.com/az/product/394,Stokda Var
declaration-leau,Declaration L'EAU,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-LEau-Cartier.jpg,,Kişi,26.00,46.00,72.00,Cartier,qreyfrut,çəhrayı-istiot,sidr,https://www.etirsah.com/az/product/395,Stokda Var
declaration-leau,Declaration L'EAU,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-LEau-Cartier.jpg,,Kişi,14.00,22.00,32.00,Cartier,qreyfrut,çəhrayı-istiot,sidr,https://www.etirsah.com/az/product/396,Stokda Var
declaration-dun-soir,Declaration D'UN Soir,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-d%27Un-Soir-Cartier.jpg,,Kişi,14.00,22.00,32.00,Cartier,"hil, qara-istiot, zirə","hind-qozu, qızılgül",səndəl,https://www.etirsah.com/az/product/397,Stokda Var
declaration,Declaration,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-Cartier.jpg,,Kişi,20.00,34.00,52.00,Cartier,"acı-portağal, berqamot, keşniş, naringi-mandarin, neroli, yovşan-artemisia, zirə, tozağacı-qatranı","darçın, istiot, jasmin, süsən, süsən-kökü, zəncəfil, ardıc","qara-çay, dəri, palıd-mamırı, sidr, vetivera, ənbər",https://www.etirsah.com/az/product/398,Stokda Var
declaration,Declaration,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-Cartier.jpg,,Kişi,,,,Cartier,"acı-portağal, berqamot, keşniş, naringi-mandarin, neroli, yovşan-artemisia, zirə, tozağacı-qatranı","darçın, hil, istiot, jasmin, süsən, süsən-kökü, zəncəfil, ardıc","qara-çay, dəri, sidr, vetivera, ənbər",https://www.etirsah.com/az/product/399,Stokda Yoxdur
declaration,Declaration,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Declaration-Cartier.jpg,,Kişi,,,,Cartier,"acı-portağal, berqamot, keşniş, naringi-mandarin, neroli, yovşan-artemisia, zirə, tozağacı-qatranı","darçın, hil, istiot, jasmin, süsən, süsən-kökü, zəncəfil, ardıc","qara-çay, dəri, palıd-mamırı, sidr, vetivera, ənbər",https://www.etirsah.com/az/product/400,Stokda Yoxdur
lenvol,L'Envol,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/L-Envol-Eau-de-Toilette-Cartier.jpg,,Kişi,20.00,34.00,52.00,Cartier,"sitrus, yovşan-artemisia",bal,"müşk, quayak-ağacı",https://www.etirsah.com/az/product/401,Stokda Var
lenvol,L'Envol,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/L-Envol-Eau-de-Toilette-Cartier.jpg,,Kişi,14.00,22.00,32.00,Cartier,"sitrus, yovşan-artemisia",bal,"müşk, quayak-ağacı",https://www.etirsah.com/az/product/402,Stokda Var
la-panthere,La Panthere,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/La-Panthere-Cartier.jpg,,Qadın,26.00,46.00,72.00,Cartier,"berqamot, quru-meyvələr, rəvənd, çiyələk, cirəgülü-anis","armud, ilanq-ilanq, portağal-çiçəyi, qardeniya, qızılgül","dəri, müşk, paçuli, palıd-mamırı",https://www.etirsah.com/az/product/403,Stokda Var
la-panthere,La Panthere,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/La-Panthere-Cartier.jpg,,Qadın,,,,Cartier,"berqamot, quru-meyvələr, rəvənd, çiyələk, cirəgülü-anis","armud, ilanq-ilanq, portağal-çiçəyi, qardeniya, qızılgül","dəri, müşk, paçuli, palıd-mamırı",https://www.etirsah.com/az/product/404,Stokda Yoxdur
la-panthere,La Panthere,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/La-Panthere-Cartier.jpg,,Qadın,20.00,34.00,52.00,Cartier,"berqamot, quru-meyvələr, rəvənd, çiyələk, cirəgülü-anis","armud, ilanq-ilanq, portağal, qardeniya, qızılgül","dəri, müşk, paçuli, palıd-mamırı",https://www.etirsah.com/az/product/405,Stokda Var
la-panthere-noir-absolu,La Panthere Noir Absolu,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/La-Panthere-Noir-Absolu-Cartier.jpg,,Qadın,20.00,34.00,52.00,Cartier,qardeniya,aqar-ağacı-ud,ağ-müşk,https://www.etirsah.com/az/product/406,Stokda Var
pasha-de-cartier,Pasha de Cartier,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Pasha-de-Cartier-Parfum-Cartier.jpg,,Qadın,26.00,46.00,72.00,Cartier,"səndəl, likör","ambroksan, benzoin, küknar","labdanum, paçuli, tonka-lobyası",https://www.etirsah.com/az/product/407,Stokda Var
fever,Fever,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Fever-Celine.jpg,,Qadın,20.00,34.00,52.00,Celine,"naringi-mandarin, qan-portağalı","jasmin, frangipani","səndəl, vanil, ənbər",https://www.etirsah.com/az/product/408,Stokda Var
magic,Magic,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Magic-Celine.jpg,,Qadın,20.00,34.00,52.00,Celine,"armud, keşniş, qızılgül, klementin, keşniş-toxumu","ilanq-ilanq, jasmin, inciçiçəyi","müşk, paçuli, səndəl, ənbər",https://www.etirsah.com/az/product/409,Stokda Var
nightclubbing,Nightclubbing,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/Nightclubbing-Celine.jpg,,Unisex,26.00,46.00,72.00,Celine,süsən-kökü,"vanil, qalbanum","müşk, paçuli, mamır",https://www.etirsah.com/az/product/410,Stokda Var
1881-cerruti,1881 Cerruti,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/1881-Cerruti.jpg,,Qadın,20.00,34.00,52.00,Cerruti,"berqamot, bənövşə, freziya, jasmin, mimoza, qızılgül, süsən, zanbaq, inciçiçəyi","jasmin, nərgiz, portağal-çiçəyi, süsən, tuberoza, ətirşah, qalbanum, çobanyastığı, palisandr-çəhrayı-ağac","müşk, sidr, səndəl, vanil, ənbər",https://www.etirsah.com/az/product/411,Stokda Var
allure,Allure,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Allure-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, limon, naringi-mandarin, şaftalı, marakuyya","freziya, jasmin, maqnoliya, pion, portağal-çiçəyi, qızılgül, suzanbağı, doqquzdon","paçuli, səndəl, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/412,Stokda Var
allure-homme-edition-blanche,Allure Homme Edition Blanche,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Allure-Homme-Edition-Blanche-Chanel.jpg,,Kişi,26.00,46.00,72.00,Chanel,"berqamot, çəhrayı-istiot, limon","müşk, sidr, madaqaskar-vanili","səndəl, tonka-lobyası, vetivera, ənbər",https://www.etirsah.com/az/product/413,Stokda Var
allure-homme-sport,Allure Homme Sport,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Allure-Homme-Sport-Chanel.jpg,,Kişi,14.00,22.00,32.00,Chanel,"aldehidlər, naringi-mandarin, portağal, dəniz-notları","istiot, neroli, sidr","ağ-müşk, tonka-lobyası, vanil, vetivera, ənbər, elemi",https://www.etirsah.com/az/product/414,Stokda Var
beige,Beige,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Les-Exclusifs-de-Chanel-Beige-Chanel.jpg,,Qadın,38.00,70.00,112.00,Chanel,frangipani,freziya,"bal, çobanyastığı",https://www.etirsah.com/az/product/415,Stokda Var
bleu-de-chanel,Bleu de Chanel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Bleu-de-Chanel-Eau-de-Parfum-Chanel.jpg,,Kişi,14.00,22.00,32.00,Chanel,"aldehidlər, berqamot, çəhrayı-istiot, keşniş, limon, nanə, qreyfrut","hind-qozu, iso-e-super, jasmin","labdanum, paçuli, sidr, səndəl, ənbər, büxur-ladan",https://www.etirsah.com/az/product/416,Stokda Var
bleu-de-chanel,Bleu de Chanel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Bleu-de-Chanel-Eau-de-Parfum-Chanel.jpg,,Kişi,,,,Chanel,"aldehidlər, berqamot, çəhrayı-istiot, keşniş, limon, nanə, qreyfrut","hind-qozu, iso-e-super, jasmin, zəncəfil","labdanum, paçuli, sidr, səndəl, ənbər, büxur-ladan",https://www.etirsah.com/az/product/417,Stokda Yoxdur
bleu-de-chanel,Bleu de Chanel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Bleu-de-Chanel-Parfum-Chanel.jpg,,Kişi,38.00,70.00,112.00,Chanel,"berqamot, nanə, yovşan-artemisia, limon-qabığı","ananas, lavanda, yaşıl-notlar, ətirşah","iso-e-super, sidr, səndəl, tonka-lobyası, ənbər-ağacı",https://www.etirsah.com/az/product/418,Stokda Var
boy-chanel,Boy Chanel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---BOY-CHANEL-FOR-UNISEX.jpg,,Kişi,,,,Chanel,"lavanda, limon, qreyfrut","portağal-çiçəyi, qızılgül, ətirşah","ağ-müşk, kumarin, səndəl, vanil, mamır",https://www.etirsah.com/az/product/419,Stokda Yoxdur
chance-eau-fraiche,Chance Eau Fraiche,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-EAU-FRAICHE-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Chanel,"limon, sidr, sitron","çəhrayı-istiot, jasmin, su-sünbülçiçəyi","ağ-müşk, paçuli, süsən, vetivera, ənbər, tik-ağacı",https://www.etirsah.com/az/product/420,Stokda Var
chance-eau-tendre,Chance Eau Tendre,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-EAU-TENDRE-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"heyva, qreyfrut","jasmin, sünbülçiçək","müşk, süsən, ənbər, virciniya-sidri",https://www.etirsah.com/az/product/421,Stokda Var
chance-eau-vive,Chance Eau Vive,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-EAU-VIVE-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"qan-portağalı, qreyfrut, sitrus","ağ-müşk, jasmin","sidr, süsən, vetivera",https://www.etirsah.com/az/product/422,Stokda Var
chance-eau-vive,Chance Eau Vive,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-EAU-VIVE-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"qan-portağalı, qreyfrut, sitrus","ağ-müşk, jasmin","sidr, süsən, vetivera",https://www.etirsah.com/az/product/423,Stokda Var
chance,Chance,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,çəhrayı-istiot,"jasmin, süsən","müşk, paçuli, vanil",https://www.etirsah.com/az/product/424,Stokda Var
chance,Chance,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Chanel,çəhrayı-istiot,"jasmin, süsən","müşk, paçuli, vanil",https://www.etirsah.com/az/product/425,Stokda Var
chance,Chance,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANCE-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Chanel,çəhrayı-istiot,"jasmin, süsən","müşk, paçuli, vanil",https://www.etirsah.com/az/product/426,Stokda Var
chanel-no-5,Chanel No 5,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANEL-NO-5-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"aldehidlər, berqamot, ilanq-ilanq, limon, neroli","jasmin, qızılgül, süsən, süsən-kökü","müşk, səndəl, vanil, vetivera, ənbər, mamır, paçuli-yarpağı",https://www.etirsah.com/az/product/427,Stokda Var
chanel-no-5,Chanel No 5,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANEL-NO-5-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Chanel,"aldehidlər, berqamot, ilanq-ilanq, limon, neroli","jasmin, qızılgül, süsən, süsən-kökü, zanbaq","müşk, paçuli, səndəl, vanil, vetivera, ənbər, mamır",https://www.etirsah.com/az/product/428,Stokda Var
chanel-no-5,Chanel No 5,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---CHANEL-NO-5-FOR-WOMEN.jpg,,Qadın,,,,Chanel,"aldehidlər, berqamot, ilanq-ilanq, limon, neroli","jasmin, qızılgül, süsən, süsən-kökü, zanbaq","müşk, paçuli, səndəl, vanil, vetivera, ənbər, mamır",https://www.etirsah.com/az/product/429,Stokda Yoxdur
chanel-no-5-leau,Chanel No 5 L'EAU,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Chanel-No-5-L%27Eau-Chanel.jpg,,Qadın,20.00,34.00,52.00,Chanel,"aldehidlər, berqamot, laym, limon, naringi-mandarin, neroli, portağal","fransa-qızılgülü, ilanq-ilanq, jasmin","ağ-müşk, sidr, süsən-kökü, vanil",https://www.etirsah.com/az/product/430,Stokda Var
coco,Coco,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Eau-de-Parfum-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"bolqar-qızılgülü, jasmin, keşniş, naringi-mandarin, şaftalı","mimoza, mixək, portağal-çiçəyi, qızılgül, yonca","labdanum, səndəl, tonka-lobyası, vanil, ənbər, opoponaks",https://www.etirsah.com/az/product/431,Stokda Var
coco,Coco,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Eau-de-Parfum-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"bolqar-qızılgülü, jasmin, keşniş, naringi-mandarin, şaftalı","mimoza, mixək, portağal-çiçəyi, qızılgül, yonca","labdanum, səndəl, tonka-lobyası, vanil, ənbər, opoponaks",https://www.etirsah.com/az/product/432,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,32.00,58.00,92.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, paçuli, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/433,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/434,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,20.00,34.00,52.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, paçuli, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/435,Stokda Var
coco-mademoiselle-leau-privee,Coco Mademoiselle L`EAU Privee,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-L%27Eau-Priv%C3%A9e-Chanel.jpg,,Qadın,,,,Chanel,naringi-mandarin,"jasmin, qızılgül",ağ-müşk,https://www.etirsah.com/az/product/436,Stokda Yoxdur
coco-noir,Coco Noir,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Noir-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, portağal, qreyfrut","jasmin, nərgiz, qızılgül, şaftalı, ətirşah","ağ-müşk, benzoin, mixək, paçuli, səndəl, tonka-lobyası, vanil, büxur-ladan",https://www.etirsah.com/az/product/437,Stokda Var
coromandel,Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Coromandel.jpg,,Unisex,,,,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, benzoin, müşk, ənbər, büxur-ladan, olibanum",https://www.etirsah.com/az/product/438,Stokda Yoxdur
coromandel,Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Coromandel.jpg,,Unisex,20.00,34.00,52.00,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, benzoin, müşk, ənbər, büxur-ladan, olibanum",https://www.etirsah.com/az/product/439,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/440,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/441,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/442,Stokda Var
gabrielle-essence,Gabrielle Essence,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Essence-Chanel-for-women.jpg,,Qadın,26.00,46.00,72.00,Chanel,"qırmızı-giləmeyvələr, şaftalı, sitrus","ağ-çiçəklər, ilanq-ilanq, jasmin, kokos, portağal-çiçəyi, tuberoza","müşk, səndəl, vanil",https://www.etirsah.com/az/product/443,Stokda Var
chanel-gabrielle,Chanel Gabrielle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Chanel-for-women.jpg,,Qadın,20.00,34.00,52.00,Chanel,"naringi-mandarin, qreyfrut, qara-qarağat","armud, çəhrayı-istiot, ilanq-ilanq, jasmin, portağal-çiçəyi, tuberoza, inciçiçəyi","müşk, süsən-kökü, səndəl, kaşmeran",https://www.etirsah.com/az/product/444,Stokda Var
chanel-gabrielle,Chanel Gabrielle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Chanel-for-women.jpg,,Qadın,,,,Chanel,"naringi-mandarin, qreyfrut, qara-qarağat","armud, çəhrayı-istiot, ilanq-ilanq, jasmin, portağal-çiçəyi, tuberoza, inciçiçəyi","müşk, süsən-kökü, səndəl, kaşmeran",https://www.etirsah.com/az/product/445,Stokda Yoxdur
gabrielle-royal-edition,Gabrielle royal edition,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---GABRIELLE-ROYAL-EDITION-FOR-WOMEN.jpg,,Qadın,38.00,70.00,112.00,Chanel,"jasmin, tuberoza","portağal-çiçəyi, vanil","ilanq-ilanq, səndəl",https://www.etirsah.com/az/product/446,Stokda Var
les-exclusifs-de-chanel-coromandel,Les Exclusifs de Chanel Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coromandel-Eau-de-Parfum-Chanel.jpg,,Qadın,26.00,46.00,72.00,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, müşk, vanil, büxur-ladan, olibanum",https://www.etirsah.com/az/product/447,Stokda Var
les-exclusifs-de-chanel-jersey,Les Exclusifs de Chanel Jersey,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Les-Exclusifs-de-Chanel-Jersey-Chanel-for-women.jpg,,Qadın,38.00,70.00,112.00,Chanel,"jasmin, lavanda","çöl-çiçəkləri, ot, qızılgül","müşk, tonka-lobyası, vanil",https://www.etirsah.com/az/product/448,Stokda Var
les-exclusifs-de-chanel-no-18,Les Exclusifs de Chanel No 18,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Les-Exclusifs-de-Chanel-No-18-Chanel-for-women.jpg,,Qadın,,,,Chanel,ambretta-müşk-əməköməcisi,"meyvə-notları, süsən","ağac-notları, çiçək-notları",https://www.etirsah.com/az/product/449,Stokda Yoxdur
n1-de-chanel-leau-rouge,N°1 de Chanel L'EAU Rouge,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/N%C2%B01-de-Chanel-L%27Eau-Rouge-Chanel-for-women.jpg,,Qadın,20.00,34.00,52.00,Chanel,"qırmızı-giləmeyvələr, sitrus","jasmin, portağal-çiçəyi, qızılgül","müşk, süsən",https://www.etirsah.com/az/product/450,Stokda Var
chanel-no-19,Chanel No 19,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---NO-19-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, neroli, yaşıl-notlar","ilanq-ilanq, nərgiz, qızılgül, süsən, inciçiçəyi","dəri, palıd-mamırı, səndəl, vetivera",https://www.etirsah.com/az/product/451,Stokda Var
paris-biarritz,Paris – Biarritz,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---BIARRITZ-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Chanel,"berqamot, limon, naringi-mandarin, portağal, qreyfrut","neroli, yaşıl-notlar, inciçiçəyi","ağ-müşk, paçuli",https://www.etirsah.com/az/product/452,Stokda Var
paris-deauville,Paris – Deauville,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---DEAUVILLE-FOR-UNISEX.jpg,,Qadın,44.00,82.00,132.00,Chanel,"berqamot, laym, limon, reyhan, petitgreyn-sitrus-yarpağı","jasmin, qızılgül, yaşıl-notlar, hedion",paçuli,https://www.etirsah.com/az/product/453,Stokda Var
